"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC17A5",-0.151886547553183,3.05486289277089,-1.13507512454736,0.280066785749472,0.443387917261591,-6.1364799919043
"ZSCAN25",-0.304962673949788,-0.0374899058357462,-1.13503663364661,0.280082243763019,0.443387917261591,-5.4300069439096
"TUBG2",0.246436452903788,0.593939881565172,1.13493517758547,0.280122991857303,0.443387917261591,-5.59078450672832
"GPATCH1",-0.12443260937469,3.56240601406338,-1.1349226106366,0.280128039476756,0.443387917261591,-6.22646273957552
"STAG1",-0.122847411651206,4.85922841798729,-1.13489368706514,0.28013965713682,0.443387917261591,-6.38773183940576
"DNAJC2",-0.14029536968925,3.17936401803926,-1.13459833070549,0.280258313529575,0.443512165199138,-6.16026129221108
"VAC14-AS1",-0.348125165450207,-0.298089454147831,-1.1343549607957,0.280356114095937,0.443512165199138,-5.36769073216631
"RCBTB1",-0.111738436146908,4.96941479751657,-1.13431957913646,0.280370334756526,0.443512165199138,-6.3980791202467
"LINC01091",-0.269702700033932,1.60057752330218,-1.13430810563891,0.280374946325182,0.443512165199138,-5.83420839921728
"LINC00645",-0.243483443498632,1.27836322349669,-1.13409796791595,0.280459417824677,0.44358377309005,-5.76146753933229
"UTP14C",-0.104658407179312,5.53132325618282,-1.13367494725037,0.280629524012152,0.443736597237268,-6.44293332188718
"BNIP1",-0.130020661191943,3.60293740890962,-1.13366263694125,0.280634475459999,0.443736597237268,-6.23430979569124
"CSF1R",-0.239381389728167,0.845210067874955,-1.13353705133385,0.280684992313324,0.44375446248781,-5.65432069193199
"HLTF",0.12414487363362,7.45616570041814,1.1334121815133,0.280735228208834,0.443771878622933,-6.55084274627738
"CLSTN2",-0.191209357596597,1.73526804326005,-1.1330578165899,0.280877829231968,0.443859301271171,-5.86619045959009
"LPAR6",-0.315788300376093,1.76249314075947,-1.13304676755656,0.280882276405379,0.443859301271171,-5.87132893951551
"CELSR2",0.284694374342473,0.326406185805652,1.13282712687842,0.280970691826914,0.443859301271171,-5.52463225413506
"LOC105274304",0.362266455942734,0.142459767922816,1.13278976544531,0.280985733652846,0.443859301271171,-5.47767788648745
"SEC23A",-0.095249872200255,6.73606955776994,-1.1327523188574,0.281000810386652,0.443859301271171,-6.51726316395392
"CDH1",0.360272401810816,-0.0746648198390988,1.13269001169683,0.281025897861835,0.443859301271171,-5.4244625082601
"TMEM2",-0.184650336166954,4.6414794606313,-1.13223949651382,0.281207345656323,0.444083896176036,-6.36973628045922
"MED26",-0.370009722044436,-0.0581472146378962,-1.13211698447467,0.281256703790954,0.444099860925851,-5.42710889814228
"CEP68",0.131221854490364,3.29084390886516,1.13200458331016,0.281301994302561,0.4441093994047,-6.18390104352322
"MEF2C",0.111093612416487,4.95673270611065,1.13181405167372,0.281378779286364,0.444168650617357,-6.39984429903129
"HPCAL4",-0.532681533320148,-0.553567490502511,-1.13083933016943,0.281771849060263,0.44472708496539,-5.31073227064791
"SLF1",0.159632309406069,4.26271813963042,1.13070745870296,0.281825060575734,0.444749032135904,-6.33034154618586
"CITED2",-0.186724452145622,1.59886696153118,-1.12956329201551,0.282287069491047,0.445389136840877,-5.83999331275166
"LOC339260",-0.324922652442046,0.324884761521216,-1.1294990317354,0.282313034804024,0.445389136840877,-5.52507059314622
"LOC101243545",0.20393905124216,1.47956261071081,1.12941061171556,0.282348765228424,0.445389136840877,-5.81388823973761
"RBCK1",0.290753555906875,-0.0841430267510832,1.12879684245201,0.28259688484118,0.445718393083071,-5.42703454508561
"HIBCH",0.104572935896143,6.07206497218788,1.12778333633798,0.28300696844635,0.446302975326892,-6.48549815912975
"SRXN1",-0.169773985132725,2.48372526334903,-1.12720034252281,0.283243066524219,0.44661305709609,-6.0306542338345
"IKZF3",0.327510757615657,1.54584345239204,1.12687300648477,0.283375696080307,0.446759927706378,-5.83019274273254
"BOD1L1",0.211220176954074,5.31681998190998,1.1262577111481,0.283625130150709,0.447090881534588,-6.43502280275204
"HOMEZ",0.254372463862596,0.512779981382798,1.1253884124747,0.283977822801398,0.447584491572339,-5.57990662071722
"C11orf30",0.144439427930426,4.9769293999877,1.12510667613902,0.284092201604033,0.447702404059837,-6.40889358418225
"SAMD12",-0.239410505982961,2.46017792616571,-1.12480608714547,0.284214273303857,0.447832405296357,-6.02815325929587
"RRNAD1",0.233442148987119,1.000313052782,1.12441415725792,0.284373499985623,0.448020906758191,-5.70555581554427
"CEP128",0.209039706048215,3.4050629021472,1.12428053010893,0.284427803478903,0.448044075785018,-6.21189971812047
"UBXN4",-0.102147487335158,8.60454147220799,-1.12396421269508,0.284556380595677,0.448140778831748,-6.60634474365806
"TRIM35",-0.199015585104873,1.49855366829161,-1.12393463808262,0.284568404410615,0.448140778831748,-5.82373449132039
"ZEB1",-0.192680325642657,7.27907792656948,-1.12298945722602,0.284952881953262,0.448683810089224,-6.55421786656091
"NDST4",-0.312702024731947,1.90168004865887,-1.12243614087187,0.28517814364486,0.448938316172154,-5.91302769203613
"ZNF277",-0.13827580503331,4.2552167862609,-1.12239752922843,0.285193868019924,0.448938316172154,-6.33831942698964
"TMEM199",-0.231208416192155,1.95155557096647,-1.1215347394206,0.285545408384644,0.449429168990437,-5.92464532198322
"TMEM9",0.157248809860182,4.66063586140774,1.12134472399062,0.285622874213975,0.449473206260422,-6.38378323479708
"CEBPZ",-0.110474269557737,6.49146193527333,-1.12117426463696,0.285692381143388,0.449473206260422,-6.51699663330155
"FZD7",-0.163460226725243,2.20272343659669,-1.12117382972753,0.285692558499775,0.449473206260422,-5.97860896978013
"RBM28",-0.13591067969614,4.19771137253699,-1.12095231688507,0.285782902609352,0.449552835120925,-6.33285787159489
"NRXN1",-0.231553434708874,3.78467248166402,-1.12059595183415,0.28592829236231,0.449719019749727,-6.27632082323955
"ORAI3",0.233914642176348,1.50758395711548,1.12045408189562,0.285986188264268,0.449747563615037,-5.82946723593688
"PAPSS2",-0.25401128307588,1.82728422573022,-1.1203083974916,0.286045650198554,0.44977856197841,-5.89963949266332
"PTPRA",0.123009195306734,3.79895922143545,1.12005018165187,0.286151065849063,0.449881799372258,-6.28010808359465
"GPR63",-0.168681750544895,3.21094030353807,-1.1195308253746,0.286363181562653,0.450152736785416,-6.18225157259155
"RHEB",0.166660252911849,2.48028271646459,1.11907429671637,0.2865497370019,0.450335171081911,-6.03969734827082
"RNF138",0.114186132245178,4.51299329421996,1.11903729049578,0.286564863281039,0.450335171081911,-6.37131406331952
"ACSS3",0.282138047410934,1.12002948416671,1.11895467131672,0.286598636054869,0.450335171081911,-5.73991965728066
"NIPA1",0.101715395290151,5.31241470930764,1.11884260231614,0.286644452110965,0.450344623109632,-6.44294472796898
