	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
CFDP1	2032	1990	1721	2852	1744	2020
CFH	50	49	37	94	18	39
CFI	42	58	49	320	110	91
CFL1	461	576	363	918	675	639
CFL1P1	177	151	104	124	54	88
CFL2	7970	8302	7368	12059	6179	8793
CFLAR	29	40	41	97	47	35
CGGBP1	5550	4979	5027	6594	3498	5079
CGN	87	51	56	48	51	32
CGNL1	1649	2077	1374	2057	1116	1789
CGRRF1	1851	1631	1467	2633	1300	1821
CH17-340M24.3	295	265	257	260	163	206
CHAC2	198	89	92	296	139	207
CHAF1B	31	47	24	78	53	79
CHAMP1	289	280	233	431	217	256
CHCHD1	752	671	585	1061	540	712
CHCHD3	803	687	588	699	494	688
CHCHD4	287	271	286	364	194	287
CHCHD5	132	143	89	187	105	140
CHCHD6	58	67	20	55	36	39
CHCHD7	2116	2141	2102	2276	1363	1683
CHD1	3267	3074	2631	4990	1880	3496
CHD1L	799	1166	998	1025	616	1010
CHD2	7432	8546	7834	10886	6205	9021
CHD3	56	65	41	77	41	40
CHD4	3372	3233	2810	4310	2700	3440
CHD6	1073	1078	848	1209	637	975
CHD7	899	867	762	1382	750	940
CHD8	1275	1294	1122	1890	1103	1550
CHD9	9124	8273	6573	12757	4843	9278
CHDH	71	54	51	62	35	52
CHEK1	261	178	222	508	302	313
CHEK2	200	233	272	407	246	309
CHFR	40	47	37	56	27	41
CHGB	37	29	26	53	37	16
CHI3L1	35	28	37	44	25	45
CHIC1	542	480	529	564	269	434
CHIC2	75	71	69	167	58	94
CHID1	529	549	376	583	331	488
CHKA	560	436	375	429	252	319
CHKB-AS1	33	35	26	68	27	25
CHM	1773	1411	1282	2108	777	1594
CHML	800	852	738	1526	528	802
CHMP1A	59	62	45	114	56	92
CHMP1B	1464	1306	1066	2313	1404	1647
CHMP2A	788	765	522	972	618	811
CHMP2B	1023	930	889	1725	807	1257
CHMP4A	975	1030	852	1610	924	1024
CHMP4B	41	37	43	57	48	36
CHMP5	7717	8050	7841	10389	5751	8076
CHMP7	51	62	28	87	35	30
CHN1	1005	901	789	1807	1038	1335
CHN2	603	608	648	548	308	434
CHORDC1	4150	3146	3556	5523	2790	4046
CHP1	2702	2644	2284	3986	2165	2560
CHPF	41	46	25	60	17	43
CHPT1	166	141	129	176	109	128
CHRAC1	664	528	502	640	340	534
CHRDL1	65	75	66	99	74	70
CHRM3	59	76	73	96	60	104
CHRNA5	64	66	35	80	58	57
CHRNB1	158	188	190	216	180	180
CHST11	564	528	394	807	479	540
CHST14	44	55	46	77	35	54
CHST15	195	199	181	272	126	206
CHST3	364	339	271	608	368	427
CHST6	36	45	35	47	38	44
CHST7	55	54	35	111	56	72
CHSY1	1543	1344	1171	2055	1271	1501
CHTF8	134	155	161	197	142	181
CHTOP	186	187	135	208	167	169
CHUK	485	343	395	649	352	418
CHURC1	2401	1963	2124	3204	1629	2574
CIAO1	1042	1084	944	1141	825	999
CIAPIN1	2629	2110	2136	4285	2663	2919
CIART	260	458	345	331	268	247
CIB1	114	140	94	116	67	113
CIB4	63	27	20	17	10	8
CIDECP	52	51	31	83	53	53
CINP	213	250	138	286	153	249
CIPC	2635	2443	2486	3109	2083	2639
CIR1	1868	1778	1509	1923	930	1537
CIRBP	672	610	488	632	335	472
CIRH1A	357	319	338	832	325	390
CISD1	2982	2262	2321	2339	1421	2007
CISD2	2032	1731	1775	2334	1484	1706
CITED2	133	117	111	176	103	155
CIZ1	66	86	37	95	51	78
CKAP2	1192	868	867	1539	790	1259
CKAP2L	156	168	112	149	135	143
CKAP4	460	488	413	921	436	604
CKAP5	7579	7311	7031	11232	6544	8521
CKB	163	151	83	143	86	93
CKLF	234	175	133	313	141	207
CKMT1A	61	41	44	17	18	13
CKMT1B	79	65	44	36	27	24
CKMT2-AS1	259	336	329	253	200	227
CKS1B	537	577	541	600	390	438
CKS2	1561	1655	1582	1856	1221	1459
CLASP1	365	422	349	529	305	464
CLASP2	7926	7531	6998	8390	4060	5740
CLCC1	1163	1076	865	1558	772	1218
CLCN3	7829	7765	7143	10718	6332	9316
CLCN4	415	261	271	318	215	250
CLCN5	528	620	519	818	476	574
CLCN6	92	129	86	129	70	119
CLDN1	1097	863	905	910	545	876
CLDN10	227	261	275	187	145	190
CLDN12	6321	6280	6424	7383	3807	5241
CLDN16	305	216	239	94	105	154
CLDN19	130	137	126	79	28	56
CLDN2	222	143	159	86	72	54
CLDN5	57	34	33	14	11	18
CLDND1	6947	6804	6747	10648	5634	7417
CLEC16A	48	57	51	106	44	54
CLEC19A	30	31	22	93	64	66
CLEC2A	1965	2080	1910	2366	1075	2161
CLEC2B	51	70	71	81	39	98
CLEC2D	500	394	294	430	130	293
CLEC4A	81	93	57	74	50	60
CLGN	2239	1862	1731	2194	1082	1820
CLHC1	3241	2507	2447	2648	1300	2422
CLIC1	14	87	4	19	1	8
CLIC4	1550	1476	1277	6208	3093	4020
CLIC6	4612	4167	4032	6343	3833	5320
CLINT1	1297	1257	1228	1918	1154	1218
CLIP1	1443	1396	1284	2492	1214	1494
CLIP2	42	22	18	66	23	41
CLIP3	147	163	132	187	118	148
CLIP4	2041	2064	1931	2820	1381	2328
CLK1	2541	2603	2447	3069	1648	2495
CLK3	68	99	39	109	70	71
CLK4	2078	1971	1910	2151	1063	1705
CLMN	1854	1856	1747	2239	1707	2452
CLN5	630	542	477	692	398	499
CLNS1A	1277	1333	1153	1578	1007	1230
CLOCK	2879	2440	2286	3919	1576	3057
CLP1	451	464	386	724	429	554
CLPB	42	34	24	55	44	36
CLPTM1	29	54	30	44	37	30
CLPTM1L	24	21	21	50	45	42
CLPX	452	534	391	653	314	488
CLSPN	72	72	93	207	128	74
CLSTN1	278	318	229	295	214	204
CLSTN2	124	154	119	193	123	159
CLSTN3	30	52	23	27	14	19
CLTA	236	244	234	379	268	281
CLTC	12727	12094	10996	17602	9666	13150
CLTCL1	86	88	51	168	84	155
CLU	24434	25657	16960	24904	16424	22720
CLUAP1	3534	3157	2853	4347	2581	3698
CLUHP3	43	76	47	48	27	57
CLUL1	569	441	351	254	149	242
CLVS1	91	89	77	121	80	99
CLVS2	74	33	32	194	49	46
CLYBL	374	361	328	343	230	309
CMAS	218	172	206	280	162	273
CMBL	546	616	521	639	322	531
CMC1	176	179	114	226	106	194
CMC2	968	747	682	1433	909	989
CMC4	61	59	56	98	59	52
CMIP	91	74	97	119	58	63
CMPK1	1809	1766	1472	2567	1450	2062
CMPK2	561	535	468	238	137	261
CMSS1	578	600	494	1039	612	678
CMTM3	55	42	43	103	62	50
CMTM4	562	579	462	512	328	417
CMTM6	2105	1886	1859	2965	1670	1912
